service,union_local,class,step,01/01/2015,02/01/2015,04/01/2015,01/01/2016,02/01/2016,04/01/2016,01/01/2017,02/01/2017,04/01/2017,01/01/2018,02/01/2018,04/01/2018,01/01/2019,02/01/2019,04/01/2019,01/01/2020,02/01/2020,04/01/2020,01/01/2021,02/01/2021,04/01/2021,01/01/2022,02/01/2022,04/01/2022,01/01/2023,02/01/2023,04/01/2023,01/01/2024,02/01/2024,04/01/2024,01/01/2025,04/01/2025
Norfolk,OPSEU 279,PCP FT,START,,,$34.40,,,$35.00,,,$35.55,,,$36.08,,,$36.62,,,$37.28,,,$37.99,,,$38.75,,,$39.81,,,$40.91,,$41.93
Norfolk,OPSEU 279,PCP FT,LEVEL 1,,,$35.48,,,$36.10,,,$36.66,,,$37.21,,,$37.77,,,$38.45,,,$39.18,,,$39.96,,,$41.06,,,$42.19,,$43.24
Norfolk,OPSEU 279,PCP FT,LEVEL 2,,,$36.52,,,$37.16,,,$37.73,,,$38.30,,,$38.88,,,$39.58,,,$40.33,,,$41.13,,,$42.27,,,$43.43,,$44.51
Haldimand,OPSEU 2102,PCP FT,START,,$34.12,,,$34.70,,,$35.29,,,$35.89,,,$36.50,,,$37.12,,,$37.77,,,$38.53,,,$39.30,,,$40.18,,,
Haldimand,OPSEU 2102,PCP FT,LEVEL 1,,$35.52,,,$36.12,,,$36.73,,,$37.35,,,$37.98,,,$38.63,,,$39.31,,,$40.10,,,$40.90,,,$42.96,,,
Haldimand,OPSEU 2102,PCP FT,LEVEL 2,,$37.06,,,$37.69,,,$38.33,,,$38.98,,,$39.64,,,$40.31,,,$41.02,,,$41.84,,,$42.68,,,$43.64,,,
Brant,OPSEU 256,PCP FT,START,,,$34.39,,,$34.91,,,$35.43,,,$35.96,,,$36.59,,,$37.32,,,$38.07,,,$38.83,,,$39.99,,,$41.19,,$42.43
Brant,OPSEU 256,PCP FT,LEVEL 1,,,$35.49,,,$36.02,,,$36.56,,,$37.11,,,$37.76,,,$38.52,,,$39.29,,,$40.07,,,$41.28,,,$42.52,,$43.80
Brant,OPSEU 256,PCP FT,LEVEL 2,,,$36.77,,,$37.32,,,$37.88,,,$38.45,,,$39.12,,,$39.90,,,$40.70,,,$41.51,,,$42.76,,,$44.04,,$45.36
Brant,OPSEU 256,ACP FT,START,,,$38.71,,,$39.29,,,$39.88,,,$40.48,,,$41.19,,,$42.01,,,$42.85,,,$43.71,,,$45.02,,,$46.37,,$47.76
Brant,OPSEU 256,ACP FT,LEVEL 1,,,$39.94,,,$40.54,,,$41.15,,,$41.76,,,$42.50,,,$43.35,,,$44.22,,,$45.10,,,$46.45,,,$47.84,,$49.28
Brant,OPSEU 256,ACP FT,LEVEL 2,,,$41.19,,,$41.81,,,$42.43,,,$43.07,,,$43.83,,,$44.71,,,$45.60,,,$46.51,,,$47.91,,,$49.35,,$50.83
Hamilton,OPSEU 256,PCP FT,START,,,$35.12,,,$35.65,,,$36.36,,,$37.09,,,$37.83,,,$38.44,,,$39.06,,,$39.96,,,$40.88,,,,,
Hamilton,OPSEU 256,PCP FT,LEVEL 1,,,$36.23,,,$36.77,,,$37.51,,,$38.26,,,$39.03,,,$39.65,,,$40.28,,,$41.21,,,$42.16,,,,,
Hamilton,OPSEU 256,PCP FT,LEVEL 2,,,$37.38,,,$37.94,,,$38.70,,,$39.47,,,$40.26,,,$40.90,,,$41.55,,,$42.51,,,$43.49,,,,,
Hamilton,OPSEU 256,ACP FT,START,,,$39.21,,,$39.80,,,$40.60,,,$41.41,,,$42.24,,,$42.92,,,$43.61,,,$44.61,,,$45.64,,,,,
Hamilton,OPSEU 256,ACP FT,LEVEL 1,,,$40.47,,,$41.08,,,$41.90,,,$42.74,,,$43.59,,,$44.29,,,$45.00,,,$46.04,,,$47.10,,,,,
Hamilton,OPSEU 256,ACP FT,LEVEL 2,,,$41.71,,,$42.34,,,$43.19,,,$44.05,,,$44.93,,,$45.65,,,$46.38,,,$47.45,,,$48.54,,,,,
Oxford,OPSEU 114,PCP FT,START,$34.41,,,$34.92,,,$35.45,,,$35.99,,,$36.71,,,$37.44,,,$38.10,,,$39.27,,,$40.25,,,$41.26,,,$42.29,
Oxford,OPSEU 114,PCP FT,LEVEL 1,$35.47,,,$36.00,,,$36.54,,,$37.09,,,$37.83,,,$38.59,,,$39.27,,,$40.46,,,$41.47,,,$42.51,,,$43.57,
Oxford,OPSEU 114,PCP FT,LEVEL 2,$36.56,,,$37.11,,,$37.67,,,$38.24,,,$39.00,,,$39.78,,,$40.48,,,$41.69,,,$42.73,,,$43.80,,,$44.90,
